,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
0,부동산 절세 완전정복,절세 고수 자본가의 세금 폭탄 피하는 법 ,이승현(자본가) 저,한국경제신문사(한경비피),2020-04-28,18000,40734,356,728,170*225*30,"회계/재무/세무, 부동산/경매",44,http://www.yes24.com/Product/Goods/90064729?scode=032&OzSrank=1
1,투에이스의 부동산 절세의 기술,"양도세, 종합소득세, 법인투자, 임대사업자까지 한 권으로 끝내는 세금 필독서 ",김동우 저/ 송희창 감수,지혜로,2019-05-30,19000,72453,460,917,165*235*27,부동산/경매,101,http://www.yes24.com/Product/Goods/74259039?scode=032&OzSrank=2
2,제네시스박의 부동산 절세,세금 노하우가 수익 노하우다! ,제네시스박 저,황금부엉이,2020-06-10,17500,17484,292,532,152*225*20,부동산/경매,3,http://www.yes24.com/Product/Goods/90328249?scode=032&OzSrank=3
3,2020 부동산 세금 사용설명서,2020년 개정 세법에 맞춘 부동산 절세전략 가이드 ,김성일 저/ 우승일 감수,한빛비즈,2020-05-26,11200,16851,188,368,152*225*20,부동산/경매,6,http://www.yes24.com/Product/Goods/90367322?scode=032&OzSrank=4
4,이은하 세무사의 부동산 절세 오늘부터1일,2020 최신개정 ,이은하 저,스마트북스,2020-03-30,17800,10026,424,872,170*240*30,부동산/경매,25,http://www.yes24.com/Product/Goods/89641932?scode=032&OzSrank=5
5,부동산 절세 시대,다양한 절세 전략을 통해 부동산 세금에서 벗어나는 법 ,김리석 저,한국경제신문i ,2020-06-19,16000,180,324,580,152*225*30,회계/재무/세무,2,http://www.yes24.com/Product/Goods/90536014?scode=032&OzSrank=6
6,아파트 청약 우선 당첨 : 부동산 세금·절세 양도소득세·증여세 세금절세,,이진규 저,경영정보사,2020-06-15,18000,180,464,,153*224*30,부동산/경매,0,http://www.yes24.com/Product/Goods/90549691?scode=032&OzSrank=7
7,부동산 세금 길잡이와 절세 아파트 우선 당첨 완전정복 세트,"양도소득세, 증여세, 부동산임대 세무실무 ",이진규 저,경영정보사,2020-06-15,29000,0,730,,153*224*40,"회계/재무/세무, 부동산/경매",0,http://www.yes24.com/Product/Goods/90549996?scode=032&OzSrank=8
8,부동산 절세 모르면 부동산 투자 절대로 하지 마라,,김윤석 저,원앤원북스,2020-03-24,17000,3186,328,462,148*215*30,부동산/경매,14,http://www.yes24.com/Product/Goods/89553607?scode=032&OzSrank=9
9,부동산 절세 상식사전 2020 ,"부동산의 취득에서 보유, 임대, 양도까지 모든 세금을 단 한 권으로! ",유종오 저,길벗,2020-04-29,16000,1110,280,474,148*210*20,"회계/재무/세무, 부동산/경매, 재테크일반",8,http://www.yes24.com/Product/Goods/90115250?scode=032&OzSrank=10
10,절세의 모든 기술 부동산 법인에 있다,절세訓남 이상욱 세무사의 ,이상욱 저,매일경제신문사,2019-07-25,16500,20046,356,,152*225*30,부동산/경매,39,http://www.yes24.com/Product/Goods/76148852?scode=032&OzSrank=11
11,베테랑 세무사의 부동산 절세는 이렇게 한다,,신방수 저,좋은땅,2020-01-10,17000,2850,304,452,152*224*16,회계/재무/세무,0,http://www.yes24.com/Product/Goods/85951103?scode=032&OzSrank=12
12,기막힌 부동산 절세의 비밀,양도·증여·상속의 모든 것 ,김용민 저,매일경제신문사,2019-01-03,18000,504,376,544,152*225*30,"회계/재무/세무, 부동산/경매",42,http://www.yes24.com/Product/Goods/67707684?scode=032&OzSrank=13
13,부동산 절세전략,,정동현 저/ 정동은 감수,랜드미디어,2019-12-05,19000,690,360,,151*226*22,"회계/재무/세무, 부동산/경매",1,http://www.yes24.com/Product/Goods/85007002?scode=032&OzSrank=14
14,수익률을 2배 올려주는 부동산 절세 비법,,주용철 저,메이트북스,2019-04-11,17000,504,464,669,153*224*23,부동산/경매,12,http://www.yes24.com/Product/Goods/71834136?scode=032&OzSrank=15
15,왕초보를 위한 부동산 절세 교과서,,"전병억 , 황태연 저",미래지식,2019-11-22,15000,438,248,392,153*224*15,"회계/재무/세무, 부동산/경매",10,http://www.yes24.com/Product/Goods/82441574?scode=032&OzSrank=16
16,아는 만큼 돈 버는 부동산 절세 전략,,이상혁 저,위즈덤하우스,2018-03-28,15000,270,258,488,153*225*18,부동산/경매,10,http://www.yes24.com/Product/Goods/59478959?scode=032&OzSrank=17
17,부동산 절세백서,시장과 정책에 흔들리지 않는 부동산 세금의 완벽한 사용설명서 ,신방수 저,위너스북,2018-04-05,19800,156,405,784,170*225*24,"회계/재무/세무, 부동산/경매",0,http://www.yes24.com/Product/Goods/59464985?scode=032&OzSrank=18
18,부동산 절세법 기업편,단 1%도 놓칠 수 없는 ,신방수 저,팩컴북스,2011-04-25,15000,12,320,560,172*235*30,부동산/경매,2,http://www.yes24.com/Product/Goods/5056162?scode=032&OzSrank=19
19,부동산 절세법 개인편,단 1%도 놓칠 수 없는 ,신방수 저,팩컴북스,2011-03-20,15000,0,332,588,172*235*30,부동산/경매,0,http://www.yes24.com/Product/Goods/4813878?scode=032&OzSrank=20
